image,action
frame_36_1_1789636397969381504,labeled
frame_37_1_1789636400275975900,skipped
frame_38_1_1789636401429859319,labeled
frame_39_1_1789636403362344802,labeled
frame_3_1_1789636298536405589,labeled
frame_3_1_1789636333267792658,labeled
frame_40_1_1789636404510528573,labeled
frame_41_1_1789636406382976414,labeled
frame_42_1_1789636408267500254,skipped
frame_43_1_1789636410158865008,labeled
frame_44_1_1789636411409613138,labeled
frame_45_1_1789636413375806146,labeled
frame_46_1_1789636414959755000,labeled
frame_47_1_1789636416886079510,labeled
frame_48_1_1789636418810293058,labeled
frame_50_1_1789636421683360899,skipped
frame_51_1_1789636423987876897,labeled
frame_52_1_1789636425201676693,labeled
frame_53_1_1789636427503097652,labeled
frame_54_1_1789636429401430361,labeled
frame_55_1_1789636430977094242,labeled
frame_56_1_1789636432115013400,skipped
frame_57_1_1789636435424686530,labeled
frame_59_1_1789636438230471539,skipped
frame_5_1_1789636302271844586,labeled
frame_5_1_1789636336035334228,labeled
frame_61_1_1789636441115310428,labeled
frame_62_1_1789636443426222804,skipped
frame_63_1_1789636445023508825,labeled
frame_64_1_1789636446614250254,labeled
frame_65_1_1789636448913942039,labeled
frame_66_1_1789636451525083734,labeled
frame_67_1_1789636454142477069,labeled
frame_68_1_1789636456015706084,skipped
frame_69_1_1789636459037627208,labeled
frame_70_1_1789636460913923006,labeled
frame_71_1_1789636463517835098,skipped
frame_72_1_1789636465868946694,skipped
frame_73_1_1789636467459077472,skipped
frame_75_1_1789636470645466388,skipped
frame_76_1_1789636472954276423,labeled
frame_77_1_1789636474878681273,labeled
frame_78_1_1789636477185796931,labeled
frame_7_1_1789636306437594330,labeled
frame_7_1_1789636340609073952,labeled
frame_80_1_1789636481368410916,labeled
frame_82_1_1789636484892565189,labeled
frame_83_1_1789636486490571434,skipped
frame_84_1_1789636487644937971,labeled
frame_85_1_1789636489946060757,labeled
frame_86_1_1789636491899465750,labeled
frame_88_1_1789636496372866757,skipped
frame_8_1_1789636307673885227,skipped
frame_8_1_1789636342485961917,skipped
frame_90_1_1789636500573660193,skipped
frame_94_1_1789636508586152634,skipped
frame_95_1_1789636511217023297,skipped
frame_96_1_1789636512510175961,labeled
frame_97_1_1789636514812560440,labeled
frame_98_1_1789636516399278451,labeled
frame_99_1_1789636518994991647,labeled
frame_9_1_1789636309530546052,skipped
frame_9_1_1789636343713193927,skipped
frame_103_1_1789636526697595273,labeled
frame_13_1_1789636053700073804,labeled
frame_13_1_1789636317491092109,labeled
frame_13_1_1789636352919395928,labeled
frame_20_1_1789636367217049321,labeled
frame_23_1_1789636375048008111,skipped
frame_27_1_1789636382056362133,labeled
frame_2_1_1789636032943472731,skipped
frame_2_1_1789636295953961358,skipped
frame_2_1_1789636331318535994,skipped
frame_33_1_1789636393253372509,skipped
frame_49_1_1789636420430997708,skipped
frame_4_1_1789636037220954894,labeled
frame_4_1_1789636301139390350,labeled
frame_4_1_1789636334845910431,labeled
frame_58_1_1789636437004946451,labeled
frame_60_1_1789636439440234615,skipped
frame_6_1_1789636040994283939,labeled
frame_6_1_1789636304855931384,labeled
frame_6_1_1789636338002545207,labeled
frame_74_1_1789636469062153171,skipped
frame_79_1_1789636479072111373,labeled
frame_81_1_1789636482966786196,labeled
frame_87_1_1789636494499631131,labeled
frame_89_1_1789636498685710224,labeled
frame_91_1_1789636501777740254,labeled
frame_92_1_1789636504397033064,skipped
frame_93_1_1789636506698833102,labeled
